a0 a
b0 b
c0 c
c1 c
c2 c
a00 a0
a01 a0
b00 b0
b01 b0
c00 c0
c01 c0
c02 c0
c10 c1
c11 c1
c20 c2
a000 a00
a001 a00
a002 a00
a010 a01
b000 b00
b001 b00
b002 b00
b010 b01
b011 b01
b012 b01
c000 c00
c001 c00
c010 c01
c020 c02
c100 c10
c101 c10
c102 c10
c110 c11
c111 c11
c200 c20
a0000 a000
a0001 a000
a0010 a001
a0020 a002
a0100 a010
b0000 b000
b0001 b000
b0002 b000
b0010 b001
b0011 b001
b0020 b002
b0021 b002
b0100 b010
b0110 b011
b0111 b011
b0112 b011
b0120 b012
b0121 b012
c0000 c000
c0001 c000
c0002 c000
c0010 c001
c0100 c010
c0200 c020
c1000 c100
c1001 c100
c1010 c101
c1011 c101
c1012 c101
c1020 c102
c1021 c102
c1100 c110
c1110 c111
c1111 c111
c1112 c111
c2000 c200
a00000 a0000
a00010 a0001
a00011 a0001
a00100 a0010
a00200 a0020
a01000 a0100
a01001 a0100
b00000 b0000
b00001 b0000
b00002 b0000
b00010 b0001
b00020 b0002
b00021 b0002
b00100 b0010
b00101 b0010
b00102 b0010
b00110 b0011
b00111 b0011
b00200 b0020
b00201 b0020
b00202 b0020
b00210 b0021
b01000 b0100
b01001 b0100
b01002 b0100
b01100 b0110
b01101 b0110
b01102 b0110
b01110 b0111
b01120 b0112
b01121 b0112
b01200 b0120
b01210 b0121
b01211 b0121
c00000 c0000
c00001 c0000
c00010 c0001
c00011 c0001
c00012 c0001
c00020 c0002
c00100 c0010
c00101 c0010
c01000 c0100
c02000 c0200
c02001 c0200
c10000 c1000
c10001 c1000
c10002 c1000
c10010 c1001
c10011 c1001
c10100 c1010
c10101 c1010
c10110 c1011
c10111 c1011
c10120 c1012
c10121 c1012
c10122 c1012
c10200 c1020
c10210 c1021
c10211 c1021
c11000 c1100
c11001 c1100
c11002 c1100
c11100 c1110
c11101 c1110
c11102 c1110
c11110 c1111
c11111 c1111
c11120 c1112
c11121 c1112
c11122 c1112
c20000 c2000
a000000 a00000
a000100 a00010
a000110 a00011
a000111 a00011
a000112 a00011
a001000 a00100
a001001 a00100
a001002 a00100
a002000 a00200
a002001 a00200
a002002 a00200
a010000 a01000
a010001 a01000
a010010 a01001
a010011 a01001
a010012 a01001
b000000 b00000
b000001 b00000
b000010 b00001
b000020 b00002
b000100 b00010
b000200 b00020
b000201 b00020
b000210 b00021
b000211 b00021
b000212 b00021
b001000 b00100
b001001 b00100
b001010 b00101
b001011 b00101
b001020 b00102
b001100 b00110
b001110 b00111
b001111 b00111
b001112 b00111
b002000 b00200
b002001 b00200
b002010 b00201
b002011 b00201
b002012 b00201
b002020 b00202
b002021 b00202
b002100 b00210
b002101 b00210
b002102 b00210
b010000 b01000
b010010 b01001
b010020 b01002
b011000 b01100
b011001 b01100
b011002 b01100
b011010 b01101
b011020 b01102
b011021 b01102
b011022 b01102
b011100 b01110
b011200 b01120
b011201 b01120
b011202 b01120
b011210 b01121
b011211 b01121
b011212 b01121
b012000 b01200
b012001 b01200
b012100 b01210
b012110 b01211
b012111 b01211
c000000 c00000
c000010 c00001
c000011 c00001
c000012 c00001
c000100 c00010
c000101 c00010
c000102 c00010
c000110 c00011
c000120 c00012
c000121 c00012
c000200 c00020
c001000 c00100
c001001 c00100
c001010 c00101
c001011 c00101
c010000 c01000
c010001 c01000
c010002 c01000
c020000 c02000
c020010 c02001
c100000 c10000
c100001 c10000
c100010 c10001
c100011 c10001
c100020 c10002
c100100 c10010
c100110 c10011
c100111 c10011
c100112 c10011
c101000 c10100
c101010 c10101
c101011 c10101
c101100 c10110
c101101 c10110
c101102 c10110
c101110 c10111
c101111 c10111
c101200 c10120
c101201 c10120
c101202 c10120
