a0 a
b0 b
b1 b
a00 a0
a01 a0
b00 b0
b01 b0
b10 b1
a000 a00
a010 a01
a011 a01
b000 b00
b001 b00
b010 b01
b100 b10
b101 b10
a0000 a000
a0100 a010
a0110 a011
b0000 b000
b0010 b001
b0100 b010
b0101 b010
b0102 b010
b1000 b100
b1001 b100
b1010 b101
b1011 b101
b1012 b101
a00000 a0000
a00001 a0000
a01000 a0100
a01001 a0100
a01100 a0110
a01101 a0110
a01102 a0110
b00000 b0000
b00001 b0000
b00100 b0010
b01000 b0100
b01001 b0100
b01002 b0100
b01010 b0101
b01011 b0101
b01012 b0101
b01020 b0102
b10000 b1000
b10010 b1001
b10011 b1001
b10012 b1001
b10100 b1010
b10110 b1011
b10111 b1011
b10120 b1012
a000000 a00000
a000010 a00001
a000011 a00001
a000012 a00001
a010000 a01000
a010001 a01000
a010010 a01001
a010011 a01001
a011000 a01100
a011010 a01101
a011011 a01101
a011012 a01101
a011020 a01102
b000000 b00000
b000001 b00000
b000002 b00000
b000010 b00001
b001000 b00100
b001001 b00100
b010000 b01000
b010001 b01000
b010002 b01000
b010010 b01001
b010020 b01002
b010021 b01002
b010022 b01002
b010100 b01010
b010101 b01010
b010102 b01010
b010110 b01011
b010111 b01011
b010120 b01012
b010121 b01012
b010200 b01020
b100000 b10000
b100001 b10000
b100100 b10010
b100110 b10011
b100111 b10011
b100112 b10011
b100120 b10012
b101000 b10100
b101001 b10100
b101002 b10100
b101100 b10110
b101101 b10110
b101102 b10110
b101110 b10111
b101200 b10120
b101201 b10120
a0000000 a000000
a0000100 a000010
a0000101 a000010
a0000110 a000011
a0000111 a000011
a0000120 a000012
a0100000 a010000
a0100001 a010000
a0100002 a010000
a0100010 a010001
a0100011 a010001
a0100100 a010010
a0100101 a010010
a0100110 a010011
a0100111 a010011
a0110000 a011000
a0110100 a011010
a0110101 a011010
a0110102 a011010
a0110110 a011011
a0110111 a011011
a0110120 a011012
a0110121 a011012
a0110122 a011012
a0110200 a011020
b0000000 b000000
b0000010 b000001
b0000011 b000001
b0000012 b000001
b0000020 b000002
b0000021 b000002
b0000100 b000010
b0010000 b001000
b0010010 b001001
b0010011 b001001
b0100000 b010000
b0100010 b010001
b0100011 b010001
b0100012 b010001
b0100020 b010002
b0100021 b010002
b0100022 b010002
b0100100 b010010
b0100101 b010010
b0100200 b010020
b0100210 b010021
b0100220 b010022
b0101000 b010100
b0101010 b010101
b0101011 b010101
b0101012 b010101
b0101020 b010102
b0101021 b010102
b0101022 b010102
b0101100 b010110
b0101101 b010110
b0101110 b010111
b0101111 b010111
b0101200 b010120
b0101201 b010120
b0101202 b010120
b0101210 b010121
b0101211 b010121
b0101212 b010121
b0102000 b010200
b0102001 b010200
b0102002 b010200
b1000000 b100000
b1000010 b100001
b1000011 b100001
b1001000 b100100
b1001001 b100100
b1001100 b100110
b1001101 b100110
b1001110 b100111
b1001120 b100112
b1001121 b100112
b1001122 b100112
b1001200 b100120
b1001201 b100120
b1010000 b101000
b1010001 b101000
b1010002 b101000
b1010010 b101001
b1010011 b101001
b1010012 b101001
b1010020 b101002
b1010021 b101002
b1011000 b101100
b1011010 b101101
b1011011 b101101
b1011020 b101102
b1011100 b101110
b1012000 b101200
b1012001 b101200
b1012002 b101200
b1012010 b101201
b1012011 b101201
a00000000 a0000000
a00001000 a0000100
a00001001 a0000100
a00001010 a0000101
a00001011 a0000101
a00001100 a0000110
a00001101 a0000110
a00001110 a0000111
a00001111 a0000111
a00001112 a0000111
a00001200 a0000120
a00001201 a0000120
a01000000 a0100000
a01000001 a0100000
a01000010 a0100001
a01000020 a0100002
a01000100 a0100010
a01000101 a0100010
a01000110 a0100011
a01000111 a0100011
a01001000 a0100100
a01001001 a0100100
a01001010 a0100101
a01001011 a0100101
a01001100 a0100110
a01001110 a0100111
a01001111 a0100111
a01100000 a0110000
a01100001 a0110000
a01101000 a0110100
a01101001 a0110100
a01101002 a0110100
a01101010 a0110101
a01101020 a0110102
a01101100 a0110110
a01101101 a0110110
a01101102 a0110110
a01101110 a0110111
a01101111 a0110111
a01101112 a0110111
a01101200 a0110120
a01101201 a0110120
a01101210 a0110121
a01101211 a0110121
a01101220 a0110122
a01101221 a0110122
a01102000 a0110200
b00000000 b0000000
b00000001 b0000000
b00000100 b0000010
b00000110 b0000011
b00000120 b0000012
b00000121 b0000012
b00000122 b0000012
b00000200 b0000020
b00000210 b0000021
b00000211 b0000021
b00000212 b0000021
b00001000 b0000100
b00001001 b0000100
b00001002 b0000100
b00100000 b0010000
b00100001 b0010000
b00100002 b0010000
b00100100 b0010010
b00100110 b0010011
b00100111 b0010011
b01000000 b0100000
b01000001 b0100000
b01000100 b0100010
b01000101 b0100010
b01000110 b0100011
b01000120 b0100012
b01000121 b0100012
b01000200 b0100020
b01000201 b0100020
b01000202 b0100020
b01000210 b0100021
b01000211 b0100021
b01000220 b0100022
b01001000 b0100100
b01001001 b0100100
b01001010 b0100101
b01001011 b0100101
b01001012 b0100101
b01002000 b0100200
b01002001 b0100200
b01002100 b0100210
b01002200 b0100220
b01002201 b0100220
b01010000 b0101000
b01010100 b0101010
b01010110 b0101011
b01010111 b0101011
b01010120 b0101012
b01010200 b0101020
no.child no.parent
a b
a a0
a b0
a b1
a a00
a a01
a b00
a b01
a b10
a a000
a a010
a a011
a b000
a b001
a b010
a b100
a b101
a a0000
a a0100
a a0110
a b0000
a b0010
a b0100
a b0101
a b0102
a b1000
a b1001
a b1010
a b1011
a b1012
a a00000
a a00001
a a01000
a a01001
a a01100
a a01101
a a01102
a b00000
a b00001
a b00100
a b01000
a b01001
a b01002
a b01010
a b01011
a b01012
a b01020
a b10000
a b10010
a b10011
a b10012
a b10100
a b10110
a b10111
a b10120
a a000000
a a000010
a a000011
a a000012
a a010000
a a010001
a a010010
a a010011
a a011000
a a011010
a a011011
a a011012
a a011020
a b000000
a b000001
a b000002
a b000010
a b001000
a b001001
a b010000
a b010001
a b010002
a b010010
a b010020
a b010021
a b010022
a b010100
a b010101
a b010102
a b010110
a b010111
a b010120
a b010121
a b010200
a b100000
a b100001
a b100100
a b100110
a b100111
a b100112
a b100120
a b101000
a b101001
a b101002
a b101100
a b101101
a b101102
a b101110
a b101200
a b101201
a a0000000
a a0000100
a a0000101
a a0000110
a a0000111
a a0000120
a a0100000
a a0100001
a a0100002
a a0100010
a a0100011
a a0100100
a a0100101
a a0100110
a a0100111
a a0110000
a a0110100
a a0110101
a a0110102
a a0110110
a a0110111
a a0110120
a a0110121
a a0110122
a a0110200
a b0000000
a b0000010
a b0000011
a b0000012
a b0000020
a b0000021
a b0000100
a b0010000
a b0010010
a b0010011
a b0100000
a b0100010
a b0100011
a b0100012
a b0100020
a b0100021
a b0100022
a b0100100
a b0100101
a b0100200
a b0100210
a b0100220
a b0101000
a b0101010
a b0101011
a b0101012
a b0101020
a b0101021
a b0101022
a b0101100
a b0101101
a b0101110
a b0101111
a b0101200
a b0101201
a b0101202
a b0101210
a b0101211
a b0101212
a b0102000
a b0102001
a b0102002
a b1000000
a b1000010
a b1000011
a b1001000
a b1001001
a b1001100
a b1001101
a b1001110
a b1001120
a b1001121
a b1001122
a b1001200
a b1001201
a b1010000
a b1010001
a b1010002
a b1010010
a b1010011
a b1010012
a b1010020
a b1010021
a b1011000
a b1011010
a b1011011
a b1011020
a b1011100
a b1012000
a b1012001
a b1012002
a b1012010
a b1012011
a a00000000
a a00001000
a a00001001
a a00001010
a a00001011
a a00001100
a a00001101
a a00001110
a a00001111
a a00001112
a a00001200
a a00001201
a a01000000
a a01000001
a a01000010
a a01000020
a a01000100
a a01000101
a a01000110
a a01000111
a a01001000
a a01001001
a a01001010
a a01001011
a a01001100
a a01001110
a a01001111
a a01100000
a a01100001
a a01101000
a a01101001
a a01101002
a a01101010
a a01101020
a a01101100
a a01101101
a a01101102
a a01101110
a a01101111
a a01101112
a a01101200
a a01101201
a a01101210
a a01101211
a a01101220
a a01101221
a a01102000
a b00000000
a b00000001
a b00000100
a b00000110
a b00000120
a b00000121
a b00000122
a b00000200
a b00000210
a b00000211
a b00000212
a b00001000
a b00001001
a b00001002
a b00100000
a b00100001
a b00100002
a b00100100
a b00100110
a b00100111
a b01000000
a b01000001
a b01000100
a b01000101
a b01000110
a b01000120
a b01000121
a b01000200
a b01000201
a b01000202
a b01000210
a b01000211
a b01000220
a b01001000
a b01001001
a b01001010
a b01001011
a b01001012
a b01002000
a b01002001
a b01002100
a b01002200
a b01002201
a b01010000
a b01010100
a b01010110
a b01010111
a b01010120
a b01010200
b a0
b b0
b b1
b a00
b a01
b b00
b b01
b b10
b a000
b a010
b a011
b b000
b b001
b b010
b b100
b b101
b a0000
b a0100
b a0110
b b0000
b b0010
b b0100
b b0101
b b0102
b b1000
b b1001
b b1010
b b1011
b b1012
b a00000
b a00001
b a01000
b a01001
b a01100
b a01101
b a01102
b b00000
b b00001
b b00100
b b01000
b b01001
b b01002
b b01010
b b01011
b b01012
b b01020
b b10000
b b10010
b b10011
b b10012
b b10100
b b10110
b b10111
b b10120
b a000000
b a000010
b a000011
b a000012
b a010000
b a010001
b a010010
b a010011
b a011000
b a011010
b a011011
b a011012
b a011020
b b000000
b b000001
b b000002
b b000010
b b001000
b b001001
b b010000
b b010001
b b010002
b b010010
b b010020
b b010021
b b010022
b b010100
b b010101
b b010102
b b010110
b b010111
b b010120
b b010121
b b010200
b b100000
b b100001
b b100100
b b100110
b b100111
b b100112
b b100120
b b101000
b b101001
b b101002
b b101100
b b101101
b b101102
b b101110
b b101200
b b101201
b a0000000
b a0000100
b a0000101
b a0000110
b a0000111
b a0000120
b a0100000
b a0100001
b a0100002
b a0100010
b a0100011
b a0100100
b a0100101
b a0100110
b a0100111
b a0110000
b a0110100
b a0110101
b a0110102
b a0110110
b a0110111
b a0110120
b a0110121
b a0110122
b a0110200
b b0000000
b b0000010
b b0000011
b b0000012
b b0000020
b b0000021
b b0000100
b b0010000
b b0010010
b b0010011
b b0100000
b b0100010
b b0100011
b b0100012
b b0100020
b b0100021
b b0100022
b b0100100
b b0100101
b b0100200
b b0100210
b b0100220
b b0101000
b b0101010
b b0101011
b b0101012
b b0101020
b b0101021
b b0101022
b b0101100
b b0101101
b b0101110
b b0101111
b b0101200
b b0101201
b b0101202
b b0101210
b b0101211
b b0101212
b b0102000
b b0102001
b b0102002
b b1000000
b b1000010
b b1000011
b b1001000
b b1001001
b b1001100
b b1001101
b b1001110
b b1001120
b b1001121
b b1001122
b b1001200
b b1001201
b b1010000
b b1010001
b b1010002
b b1010010
b b1010011
b b1010012
b b1010020
b b1010021
b b1011000
b b1011010
b b1011011
b b1011020
b b1011100
b b1012000
b b1012001
b b1012002
b b1012010
b b1012011
b a00000000
b a00001000
b a00001001
b a00001010
b a00001011
b a00001100
b a00001101
b a00001110
b a00001111
b a00001112
b a00001200
b a00001201
b a01000000
b a01000001
b a01000010
b a01000020
b a01000100
b a01000101
b a01000110
b a01000111
b a01001000
b a01001001
b a01001010
b a01001011
b a01001100
b a01001110
b a01001111
b a01100000
b a01100001
b a01101000
b a01101001
b a01101002
b a01101010
b a01101020
b a01101100
b a01101101
b a01101102
b a01101110
b a01101111
b a01101112
