a0 a
b0 b
b1 b
a00 a0
a01 a0
b00 b0
b01 b0
b02 b0
b10 b1
b11 b1
a000 a00
a001 a00
a010 a01
b000 b00
b001 b00
b010 b01
b020 b02
b021 b02
b100 b10
b101 b10
b110 b11
a0000 a000
a0001 a000
a0010 a001
a0011 a001
a0100 a010
a0101 a010
a0102 a010
b0000 b000
b0001 b000
b0010 b001
b0100 b010
b0200 b020
b0201 b020
b0202 b020
b0210 b021
b0211 b021
b0212 b021
b1000 b100
b1001 b100
b1010 b101
b1100 b110
b1101 b110
a00000 a0000
a00010 a0001
a00011 a0001
a00100 a0010
a00101 a0010
a00102 a0010
a00110 a0011
a01000 a0100
a01001 a0100
a01010 a0101
a01011 a0101
a01020 a0102
a01021 a0102
a01022 a0102
b00000 b0000
b00001 b0000
b00002 b0000
b00010 b0001
b00011 b0001
b00012 b0001
b00100 b0010
b00101 b0010
b01000 b0100
b02000 b0200
b02001 b0200
b02010 b0201
b02020 b0202
b02021 b0202
b02100 b0210
b02101 b0210
b02102 b0210
b02110 b0211
b02111 b0211
b02120 b0212
b02121 b0212
b02122 b0212
b10000 b1000
b10001 b1000
b10010 b1001
b10011 b1001
b10012 b1001
b10100 b1010
b11000 b1100
b11001 b1100
b11002 b1100
b11010 b1101
b11011 b1101
a000000 a00000
a000100 a00010
a000110 a00011
a000111 a00011
a001000 a00100
a001010 a00101
a001011 a00101
a001012 a00101
a001020 a00102
a001021 a00102
a001100 a00110
a001101 a00110
a001102 a00110
a010000 a01000
a010010 a01001
a010011 a01001
a010012 a01001
a010100 a01010
a010101 a01010
a010102 a01010
a010110 a01011
a010111 a01011
a010200 a01020
a010201 a01020
a010202 a01020
a010210 a01021
a010220 a01022
b000000 b00000
b000010 b00001
b000020 b00002
b000021 b00002
b000022 b00002
b000100 b00010
b000101 b00010
b000102 b00010
b000110 b00011
b000111 b00011
b000120 b00012
b001000 b00100
b001001 b00100
b001010 b00101
b001011 b00101
b010000 b01000
b010001 b01000
b010002 b01000
b020000 b02000
b020010 b02001
b020100 b02010
b020101 b02010
b020102 b02010
b020200 b02020
b020201 b02020
b020202 b02020
b020210 b02021
b020211 b02021
b020212 b02021
b021000 b02100
b021001 b02100
b021002 b02100
b021010 b02101
b021011 b02101
b021020 b02102
b021100 b02110
b021101 b02110
b021102 b02110
b021110 b02111
b021111 b02111
b021112 b02111
b021200 b02120
b021201 b02120
b021202 b02120
b021210 b02121
b021220 b02122
b021221 b02122
b021222 b02122
b100000 b10000
b100010 b10001
b100100 b10010
b100101 b10010
b100102 b10010
b100110 b10011
b100111 b10011
b100112 b10011
b100120 b10012
b100121 b10012
b100122 b10012
b101000 b10100
b101001 b10100
b110000 b11000
b110001 b11000
b110010 b11001
b110020 b11002
b110021 b11002
b110022 b11002
b110100 b11010
b110101 b11010
b110102 b11010
b110110 b11011
a0000000 a000000
a0000001 a000000
a0000002 a000000
a0001000 a000100
a0001001 a000100
a0001002 a000100
a0001100 a000110
a0001101 a000110
a0001102 a000110
a0001110 a000111
a0010000 a001000
a0010001 a001000
a0010100 a001010
a0010101 a001010
a0010110 a001011
a0010111 a001011
a0010112 a001011
a0010120 a001012
a0010121 a001012
a0010122 a001012
a0010200 a001020
a0010201 a001020
a0010202 a001020
a0010210 a001021
a0010211 a001021
a0011000 a001100
a0011001 a001100
a0011010 a001101
a0011011 a001101
a0011020 a001102
a0011021 a001102
a0100000 a010000
a0100001 a010000
a0100002 a010000
a0100100 a010010
a0100101 a010010
a0100102 a010010
a0100110 a010011
a0100111 a010011
a0100120 a010012
a0100121 a010012
a0101000 a010100
a0101001 a010100
a0101010 a010101
a0101011 a010101
a0101012 a010101
a0101020 a010102
a0101100 a010110
a0101101 a010110
a0101102 a010110
a0101110 a010111
a0101111 a010111
a0101112 a010111
a0102000 a010200
a0102010 a010201
a0102011 a010201
a0102012 a010201
a0102020 a010202
a0102021 a010202
a0102022 a010202
a0102100 a010210
a0102101 a010210
a0102102 a010210
a0102200 a010220
a0102201 a010220
b0000000 b000000
b0000001 b000000
b0000002 b000000
b0000100 b000010
b0000101 b000010
b0000102 b000010
b0000200 b000020
b0000210 b000021
b0000220 b000022
b0000221 b000022
b0001000 b000100
b0001010 b000101
b0001020 b000102
b0001021 b000102
b0001100 b000110
b0001101 b000110
b0001110 b000111
b0001111 b000111
b0001200 b000120
b0001201 b000120
b0010000 b001000
b0010010 b001001
b0010100 b001010
b0010101 b001010
b0010102 b001010
b0010110 b001011
b0010111 b001011
b0100000 b010000
b0100001 b010000
b0100002 b010000
b0100010 b010001
b0100011 b010001
b0100020 b010002
b0100021 b010002
b0200000 b020000
b0200001 b020000
b0200100 b020010
b0200101 b020010
b0200102 b020010
b0201000 b020100
b0201010 b020101
b0201020 b020102
b0201021 b020102
b0202000 b020200
b0202010 b020201
no.child no.parent
a b
a a0
a b0
a b1
a a00
a a01
a b00
a b01
a b02
a b10
a b11
a a000
a a001
a a010
a b000
a b001
a b010
a b020
a b021
a b100
a b101
a b110
a a0000
a a0001
a a0010
a a0011
a a0100
a a0101
a a0102
a b0000
a b0001
a b0010
a b0100
a b0200
a b0201
a b0202
a b0210
a b0211
a b0212
a b1000
a b1001
a b1010
a b1100
a b1101
a a00000
a a00010
a a00011
a a00100
a a00101
a a00102
a a00110
a a01000
a a01001
a a01010
a a01011
a a01020
a a01021
a a01022
a b00000
a b00001
a b00002
a b00010
a b00011
a b00012
a b00100
a b00101
a b01000
a b02000
a b02001
a b02010
a b02020
a b02021
a b02100
a b02101
a b02102
a b02110
a b02111
a b02120
a b02121
a b02122
a b10000
a b10001
a b10010
a b10011
a b10012
a b10100
a b11000
a b11001
a b11002
a b11010
a b11011
a a000000
a a000100
a a000110
a a000111
a a001000
a a001010
a a001011
a a001012
a a001020
a a001021
a a001100
a a001101
a a001102
a a010000
a a010010
a a010011
a a010012
a a010100
a a010101
a a010102
a a010110
a a010111
a a010200
a a010201
a a010202
a a010210
a a010220
a b000000
a b000010
a b000020
a b000021
a b000022
a b000100
a b000101
a b000102
a b000110
a b000111
a b000120
a b001000
a b001001
a b001010
a b001011
a b010000
a b010001
a b010002
a b020000
a b020010
a b020100
a b020101
a b020102
a b020200
a b020201
a b020202
a b020210
a b020211
a b020212
a b021000
a b021001
a b021002
a b021010
a b021011
a b021020
a b021100
a b021101
a b021102
a b021110
a b021111
a b021112
a b021200
a b021201
a b021202
a b021210
a b021220
a b021221
a b021222
a b100000
a b100010
a b100100
a b100101
a b100102
a b100110
a b100111
a b100112
a b100120
a b100121
a b100122
a b101000
a b101001
a b110000
a b110001
a b110010
a b110020
a b110021
a b110022
a b110100
a b110101
a b110102
a b110110
a a0000000
a a0000001
a a0000002
a a0001000
a a0001001
a a0001002
a a0001100
a a0001101
a a0001102
a a0001110
a a0010000
a a0010001
a a0010100
a a0010101
a a0010110
a a0010111
a a0010112
a a0010120
a a0010121
a a0010122
a a0010200
a a0010201
a a0010202
a a0010210
a a0010211
a a0011000
a a0011001
a a0011010
a a0011011
a a0011020
a a0011021
a a0100000
a a0100001
a a0100002
a a0100100
a a0100101
a a0100102
a a0100110
a a0100111
a a0100120
a a0100121
a a0101000
a a0101001
a a0101010
a a0101011
a a0101012
a a0101020
a a0101100
a a0101101
a a0101102
a a0101110
a a0101111
a a0101112
a a0102000
a a0102010
a a0102011
a a0102012
a a0102020
a a0102021
a a0102022
a a0102100
a a0102101
a a0102102
a a0102200
a a0102201
a b0000000
a b0000001
a b0000002
a b0000100
a b0000101
a b0000102
a b0000200
a b0000210
a b0000220
a b0000221
a b0001000
a b0001010
a b0001020
a b0001021
a b0001100
a b0001101
a b0001110
a b0001111
a b0001200
a b0001201
a b0010000
a b0010010
a b0010100
a b0010101
a b0010102
a b0010110
a b0010111
a b0100000
a b0100001
a b0100002
a b0100010
a b0100011
a b0100020
a b0100021
a b0200000
a b0200001
a b0200100
a b0200101
a b0200102
a b0201000
a b0201010
a b0201020
a b0201021
a b0202000
a b0202010
b a0
b b0
b b1
b a00
b a01
b b00
b b01
b b02
b b10
b b11
b a000
b a001
b a010
b b000
b b001
b b010
b b020
b b021
b b100
b b101
b b110
b a0000
b a0001
b a0010
b a0011
b a0100
b a0101
b a0102
b b0000
b b0001
b b0010
b b0100
b b0200
b b0201
b b0202
b b0210
b b0211
b b0212
b b1000
b b1001
b b1010
b b1100
b b1101
b a00000
b a00010
b a00011
b a00100
b a00101
b a00102
b a00110
b a01000
b a01001
b a01010
b a01011
b a01020
b a01021
b a01022
b b00000
b b00001
b b00002
b b00010
b b00011
b b00012
b b00100
b b00101
b b01000
b b02000
b b02001
b b02010
b b02020
b b02021
b b02100
b b02101
b b02102
b b02110
b b02111
b b02120
b b02121
b b02122
b b10000
b b10001
b b10010
b b10011
b b10012
b b10100
b b11000
b b11001
b b11002
b b11010
b b11011
b a000000
b a000100
b a000110
b a000111
b a001000
b a001010
b a001011
b a001012
b a001020
b a001021
b a001100
b a001101
b a001102
b a010000
b a010010
b a010011
b a010012
b a010100
b a010101
b a010102
b a010110
b a010111
b a010200
b a010201
b a010202
b a010210
b a010220
b b000000
b b000010
b b000020
b b000021
b b000022
b b000100
b b000101
b b000102
b b000110
b b000111
b b000120
b b001000
b b001001
b b001010
b b001011
b b010000
b b010001
b b010002
b b020000
b b020010
b b020100
b b020101
b b020102
b b020200
b b020201
b b020202
b b020210
b b020211
b b020212
b b021000
b b021001
b b021002
b b021010
b b021011
b b021020
b b021100
b b021101
b b021102
b b021110
b b021111
b b021112
b b021200
b b021201
b b021202
b b021210
b b021220
b b021221
b b021222
b b100000
b b100010
b b100100
b b100101
b b100102
b b100110
b b100111
b b100112
b b100120
b b100121
b b100122
b b101000
b b101001
b b110000
b b110001
b b110010
b b110020
b b110021
b b110022
b b110100
b b110101
b b110102
b b110110
b a0000000
b a0000001
b a0000002
b a0001000
b a0001001
b a0001002
b a0001100
b a0001101
b a0001102
b a0001110
b a0010000
b a0010001
b a0010100
b a0010101
b a0010110
b a0010111
b a0010112
b a0010120
b a0010121
b a0010122
b a0010200
b a0010201
b a0010202
b a0010210
b a0010211
b a0011000
b a0011001
b a0011010
b a0011011
b a0011020
b a0011021
b a0100000
b a0100001
b a0100002
b a0100100
b a0100101
b a0100102
b a0100110
b a0100111
b a0100120
b a0100121
b a0101000
b a0101001
b a0101010
b a0101011
b a0101012
b a0101020
b a0101100
b a0101101
b a0101102
b a0101110
b a0101111
b a0101112
b a0102000
b a0102010
b a0102011
b a0102012
b a0102020
b a0102021
b a0102022
b a0102100
b a0102101
b a0102102
b a0102200
b a0102201
b b0000000
b b0000001
b b0000002
b b0000100
b b0000101
b b0000102
b b0000200
b b0000210
b b0000220
b b0000221
b b0001000
b b0001010
b b0001020
b b0001021
b b0001100
b b0001101
b b0001110
b b0001111
b b0001200
b b0001201
b b0010000
b b0010010
b b0010100
b b0010101
b b0010102
b b0010110
b b0010111
b b0100000
b b0100001
b b0100002
b b0100010
b b0100011
b b0100020
b b0100021
b b0200000
b b0200001
b b0200100
b b0200101
b b0200102
b b0201000
b b0201010
b b0201020
b b0201021
b b0202000
b b0202010
a0 b0
a0 b1
a0 a00
a0 a01
a0 b00
a0 b01
