76 100
2 1 2
2 1 3
2 2 4
2 3 4
2 4 5
2 4 6
2 5 7
2 6 7
2 7 8
2 7 9
2 8 10
2 9 10
2 10 11
2 10 12
2 11 13
2 12 13
2 13 14
2 13 15
2 14 16
2 15 16
2 16 17
2 16 18
2 17 19
2 18 19
2 19 20
2 19 21
2 20 22
2 21 22
2 22 23
2 22 24
2 23 25
2 24 25
2 25 26
2 25 27
2 26 28
2 27 28
2 28 29
2 28 30
2 29 31
2 30 31
2 31 32
2 31 33
2 32 34
2 33 34
2 34 35
2 34 36
2 35 37
2 36 37
2 37 38
2 37 39
2 38 40
2 39 40
2 40 41
2 40 42
2 41 43
2 42 43
2 43 44
2 43 45
2 44 46
2 45 46
2 46 47
2 46 48
2 47 49
2 48 49
2 49 50
2 49 51
2 50 52
2 51 52
2 52 53
2 52 54
2 53 55
2 54 55
2 55 56
2 55 57
2 56 58
2 57 58
2 58 59
2 58 60
2 59 61
2 60 61
2 61 62
2 61 63
2 62 64
2 63 64
2 64 65
2 64 66
2 65 67
2 66 67
2 67 68
2 67 69
2 68 70
2 69 70
2 70 71
2 70 72
2 71 73
2 72 73
2 73 74
2 73 75
2 74 76
2 75 76
